,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
,"geng-, gong-",russ.,"guz, guzá, guzó","das dicke Ende der Garbe, eines Balkens'","slav. *gǫz-, auch *guz- mit u von idg. geu-ĝ-, s. unter __geu-1__",,"the thick end of the sheaf, of a beam","slav. *gǫz-, also *guz- with u from idg. geu-ĝ-, see under __geu-1__"
,"geng-, gong-",russ.,gúzka,"Steiß, Sterz, Bürzel'","slav. *gǫz-, auch *guz- mit u von idg. geu-ĝ-, s. unter __geu-1__",,"Rump, rump, rump","slav. *gǫz-, also *guz- with u from idg. geu-ĝ-, see under __geu-1__"
,"geng-, gong-",poln.,"gǫz, gǫż",tuber',"alt; slav. *gǫz-, auch *guz- mit u von idg. geu-ĝ-, s. unter __geu-1__",,tuber,"alt; Slavic *gǫz-, also *guz- with u from Proto-Indo-European geu-ĝ-, see under __geu-1__"
,"geng-, gong-",poln.,gęzić się,sich krümmen,"slav. *gǫz-, auch *guz- mit u von idg. geu-ĝ-, s. unter __geu-1__",,"to bend, to curl","slav. *gǫz-, also *guz- with u from idg. geu-ĝ-, see under __geu-1__"
19,"geng-, gong-",skr.,gûst,"dick, dicht",Partiz. Perf. Pass. *gǫstъ (*gn̥ĝ-to-),,"thick, dense",Participle Perfect Passive *gǫstъ (*gn̥ĝ-to-)
,"geng-, gong-",russ.-ksl.,gustъ,"dick, dicht",Partiz. Perf. Pass. *gǫstъ (*gn̥ĝ-to-),,"thick, dense",Participle Perfect Passive *gǫstъ (*gn̥ĝ-to-)
,"geng-, gong-",russ.,gustój,"dick, dicht",Partiz. Perf. Pass. *gǫstъ (*gn̥ĝ-to-),,"thick, dense",Participle Perfect Passive *gǫstъ (*gn̥ĝ-to-)
,"geng-, gong-",poln.,gęsty,"dick, dicht",Partiz. Perf. Pass. *gǫstъ (*gn̥ĝ-to-),"general note: Wegen sloven. poln. u und der balt. -un- (> -ū-) Formen (die aber als Redoktionsstufe eines o-farbigen *gonĝ- vielleicht normal wären) nimmt Persson Beitr. 937 fürs Slav. Mischung von *gong- und *geuĝ-, guĝ- (Erweiterung von geu- `krümmen', s. dort) an, vgl. isl. kjuka `Knöchel', norw. kjuka `Knorren, Knoten, Zapfen' usw. und für lit. gùžas `Knorren' (Kurschat), undfür balt. gunž-, gūž- Entstehung aus solchem nasalierten *gu-n-ĝ- (allenfalls auch *gūĝ-), da balt. Formen mit hochstufigem *gonĝ- fehlen. Auch die auf velares g endigenden balt. Worte, wie lit. gùnga, könnten einer parallelen Erweiterung *geu-g- zugeteilt werden, vgl. unter geu-1: lit. gugà `Knopf am Sattel, Buckel', gaũgaras `Gipfel', usw.","thick, dense",Participle Perfect Passive *gǫstъ (*gn̥ĝ-to-)
,,,,,,,,
,,,,,,,,
0,gengh-,anord.,kinga,"Brustschmuck, Brosche",,,"Breast jewelry, brooch",
1,gengh-,anord.,kengr,"Bucht, Biegung, Haken",*kangiz m.,,"Bay, bend, hook",*kangiz m. [UNKNOWN]
2,gengh-,anord.,kǫngur-vāfa,Spinne,"ags. gangelwǣfre ds., nach gangan umgebildet",,Spider,"Old English gangelwǣfre das., transformed from gangan"
,gengh-,ags.,gangelwǣfre,Spinne,nach \gangan umgebildet,,Spider,transformed into \gangan
3,gengh-,mhd.,kanker,Spinne,,,Spider,
,gengh-,nhd. dial.,kanker,Spinne,,,Spider,
4,gengh-,finn.,kangas,Gewebe,aus dem Germ.,,Tissue,from the Germ.
5,gengh-,schwed.,kang,herabhängender schlanker Zweig,mdartl.,,drooping slim branch,mdartl. [UNKNOWN]
6,gengh-,schwed.,kång,"lebhaft, erregt","bes. von Pferden, eigentlich 'sich heftig drehend'",,"lively, excited","especially of horses, actually 'spinning violently'"
7,gengh-,schwed.,kynge,Bündel,,,Bundle,
8,gengh-,anord.,kǫngull,Beerenbüschel,,,Berry bunch,
9,gengh-,finn.,"kinkko, kinkon",Bündel,aus dem Germ.,,Bundle,from the Germ.
10,gengh-,mnd.,kinke,Klumpen,"vgl. auch die unter *gong- 'Klumpen' erwähnten Worte, s. dort",,Lump or clump,"see also the words mentioned under *gong- 'lump', see there."
11,gengh-,aksl.,gąžvica,vimen,,,vimen,
12,gengh-,sloven.,gôž,Riemen,,,Belt,
13,gengh-,serb.,gužva,"vimen, Flechte aus schlanken Reisern, Bauwinde",,,"willows, weaving from slender branches, construction vine",
14,gengh-,russ.,gužь,"Kummetriemen, Seil",,,"Collar strap, rope",
15,gengh-,čech.,houžev,,,,,
,gengh-,poln.,gąžwy,lederne Kappe am Dreschflegel,Pl.,,Leather cap on the flail,Plural
0,"4. ger-, grēi-",ai.,járate,erwacht,,,awakened,
1,"4. ger-, grēi-",ai.,jā-gar-ti,wacht,,,awake/wake up,
2,"4. ger-, grēi-",ai.,jā-gā́ra,,Perf.,,,Perf. [UNKNOWN]
3,"4. ger-, grēi-",ai.,jā-gṛ-váṁs,"munter, eifrig",Partiz.,,"lively, eager",Partisan.
4,"4. ger-, grēi-",ai.,jā́gr̥vi-,"aufmerksam, wach, munter",,,"attentive, awake, lively",
5,"4. ger-, grēi-",av.,jaɣārayantəm,den wachenden,,,the watching,
6,"4. ger-, grēi-",av.,jagāra,,Perf.,,,Perf. [UNKNOWN]
7,"4. ger-, grēi-",av.,"jagāurvah-, jigāurvah-","wach, wachsam",Partiz. Perf. Akt.,,"awake, vigilant",Participial Perfect Active
8,"4. ger-, grēi-",av.,ā-garayeiti,weckt,Kaus.,,wakes up,Kaus. [UNKNOWN]
9,"4. ger-, grēi-",av.,fra-ɣrisəmnō,erwachend,"inchoativ mit fra-, (*grī-sk-)",,awakening,"inchoative with fra-, (*grī-sk-) [UNKNOWN]"
10,"4. ger-, grēi-",av.,fra-ɣrā-ɣrāyeiti,erweckt,Kaus.,,awakened,Kaus. [UNKNOWN]
11,"4. ger-, grēi-",av.,fra-ɣrā-rayeiti,erweckt,Kaus. dissimil.,,awakened,Kaus. dissimil. [UNKNOWN]
12,"4. ger-, grēi-",mpers.,vīgrās,erwache,,,awake,
13,"4. ger-, grēi-",mpers.,vīgrāsēnāg,Erwecker,,,Awakener,
14,"4. ger-, grēi-",gr.,ἐγείρω,wecke,(ob ἐ- das Adv. \*e? vgl. \ē oder \ō in av. \ā-garayeiti und oben S. 280; anders Schwyzer Gr. Gr. I 6483),,wake up,(if ἐ- the adverb *e? cf. \ē or \ō in av. \ā-garayeiti and above p. 280; differently Schwyzer Gr. Gr. I 6483)
15,"4. ger-, grēi-",gr.,ἔγρετο,,Aor.,,,Aor. [UNKNOWN]
16,"4. ger-, grēi-",gr.,ἐγρέσθαι,,Aor.,,,Aor. [UNKNOWN]
17,"4. ger-, grēi-",gr.,ἐ-γρή-γορα,für ε-γη-γορα - vgl. ai. jā-gā́ra,Perf. mit dem ρ von ἐγρέσθαι,,for ε-γη-γορα - cf. Sanskrit jā-gā́ra,Perf. with the ρ of ἐγρέσθαι [UNKNOWN]
18,"4. ger-, grēi-",gr.,ἐ-γή-γερ-μαι,Med. (spät),"vom Perf. gingen aus ἐγρηγορτί 'im Wachen', ἐγρήγορσις",,Med (late),"vom Perf. gingen aus ἐγρηγορτί 'im Wachen', ἐγρήγορσις"" [UNKNOWN]"
19,"4. ger-, grēi-",gr.,ἐγρήσσω,wache,zu *γρη-τ- (vgl. av. fra-ʒrātō 'beim Erwachen'); kaum aus *ἐγρήσκι̯ω (Schwyzer Gr. Gr. I 7082),,awake,to *γρη-τ- (cf. av. fra-ʒrātō 'upon awakening'); hardly from *ἐγρήσκι̯ω (Schwyzer Gr. Gr. I 7082)
20,"4. ger-, grēi-",tosk.,ngrē̈,"hebe auf, errichte, wecke, spanne ein Gewehr",woraus ngrē,,"raise, build, awaken, cock a gun",woraus ngrē [UNKNOWN]
21,"4. ger-, grēi-",geg.,ngrêi,"hebe auf, errichte, wecke, spanne ein Gewehr",\*n-grə-n-i̯ō,,"raise, build, awaken, cock a gun","*\*n-grə-n-i̯ō"" [UNKNOWN]*"
22,"4. ger-, grēi-",alb.,n-gritë,"hebe auf, errichte, wecke, spanne ein Gewehr",Partiz. *-\grī-\t-,,"raise, build, awaken, cock a gun",Participle *-\grī-\t-
23,"4. ger-, grēi-",anord.,"karskr, kerskr","frisch, lebhaft",vermutlich,,"fresh, lively",presumably
24,"4. ger-, grēi-",mnd.,karsch,"frisch, munter",vermutlich,,"fresh, lively",presumably
25,"4. ger-, grēi-",ale.,chärzsch,"frisch, munter",vermutlich,,"fresh, lively",presumably
0,gleg̑-,aisl.,kløkkr,"weich, biegsam, nachgiebig, sentimental",Nasaliert (aus *klinku̯az),,"soft, flexible, yielding, sentimental",Nasalized (from *klinku̯az)
1,gleg̑-,aisl.,kløkkva,"weich werden, Mutlosigkeit oder Trauer zeigen, stöhnen",,,"becoming weak, showing despair or sadness, groaning",
2,gleg̑-,schwed.,kläcka,erschrecken,(*klinkwan),,to scare/startle,*klinkwan [UNKNOWN]
3,gleg̑-,adän.,kliunka,erschrecken,,,to scare/startle,
4,gleg̑-,dän.,klynke,wimmern,,,whimper,
5,gleg̑-,anord.,kløkkva,weich machen,Kausativ (*klankwjan),,soften,Causative (*klankwjan)
6,gleg̑-,schwed. dial.,kläkka,schmelzen,Kausativ (*klankwjan),,melt,Causative (*klankwjan)
7,gleg̑-,ndd.,klinker,"zart, schwach, mager",,,"tender, weak, lean",
8,gleg̑-,lit.,glẽžnas,"zart, weich, schlapp",,,"delicate, soft, weak",
9,gleg̑-,lit.,gležnùs,"zart, weich, schlapp",,,"delicate, soft, weak",
10,gleg̑-,lit.,glęžtù,"weich, schlaff, welk werden",,,"to become soft, limp, withered",
11,gleg̑-,lit.,gležaũ,"weich, schlaff, welk werden",,,"to become soft, limp, withered",
12,gleg̑-,lit.,glèžti,"weich, schlaff, welk werden",,,"to become soft, limp, withered",
13,gleg̑-,lett.,glęzns,"soft, tender",,unable to find meaning of word,"soft, tender",
14,gleg̑-,bulg.,glézъ,"verziehe, verzärtele",,,"Move, fidget",
15,gleg̑-,bulg.,glezíl,"verziehe, verzärtele",,,"Move, fidget",
16,gleg̑-,bulg.,razgléza,"Verderbtheit, Ungezogenheit",,,"Corruption, misbehavior",
0,g̑lei-,ai.,jráyati,"stürmt an, läuft an",,,"storms in, runs by.",
1,g̑lei-,ai.,jráyas-,"Ungestüm, Lauf, Flußlauf",n.,,"Impetuous, run, river course",n. [UNKNOWN]
2,g̑lei-,ai.,pr̥thu-jráya-,weit laufend,,,running far,
3,g̑lei-,av.,zrayah-,"See, Meer",,,"Lake, Sea",
4,g̑lei-,apers.,drayah-,"See, Meer",,,"Lake, Sea",
5,g̑lei-,mpers.,zray,"See, Meer",,,"Lake, Sea",
6,g̑lei-,npers.,daryā,"See, Meer",mit Umstellung,,"Lake, Sea",with conversion
7,g̑lei-,av.,pərəu-zrayah,über weite Wasserflächen sich erstreckend,,,stretching over wide expanses of water,
0,"1. gol-, lengthened grade gōl-, reduced grade gol-",arm.,kalał,"Höhle, Schlupfwinkel oder Lager wilder Tiere",aus Red.-St. g↓↓o↓↓l-,,"Cave, hiding place, or lair of wild animals",from Red.-St. g↓↓o↓↓l-
1,"1. gol-, lengthened grade gōl-, reduced grade gol-",gr.,γωλεός,"Höhle, Grube",mit der bei i-St. häufigen Dehnstufe,,"Cave, pit",with the frequent lengthening degree in the i-stem.
2,"1. gol-, lengthened grade gōl-, reduced grade gol-",aschwed.,kolder,"ein Wurf von Tierjungen, ein Nestvoll Eier, Kinder aus derselben Ehe (eigtl. demselben Bette)",/= aisl. *kollr aus *kolþaR,,"a litter of animal young, a nest full of eggs, children from the same marriage (actually, the same bed)",/= aisl. *kollr from *kolþaR
3,"1. gol-, lengthened grade gōl-, reduced grade gol-",norw. dial.,kold,"ein Wurf von Tierjungen, ein Nestvoll Eier, Kinder aus derselben Ehe (eigtl. demselben Bette)",*kolðṓ m. und f.,,"a litter of animal young, a nest full of eggs, children from the same marriage (actually, the same bed)",*kolðṓ masculine and feminine.
4,"1. gol-, lengthened grade gōl-, reduced grade gol-",norw. dial.,kuld,"ein Wurf von Tierjungen, ein Nestvoll Eier, Kinder aus derselben Ehe (eigtl. demselben Bette)",*kolðṓ m. und f.,,"a litter of animal young, a nest full of eggs, children from the same marriage (actually, the same bed)",*kolðṓ masculine and feminine.
5,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,guõlis,"Lager, Schlafstatt",mit der bei i-St. häufigen Dehnstufe,,"Camp, sleeping place",with the frequent lengthening degree in the i-stem.
6,"1. gol-, lengthened grade gōl-, reduced grade gol-",lett.,guõl'a,"Lager, Nest",,,"Storage, Nest",
7,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,"guliù (gulú), gul̃ti","sichlegen, zu Bette gehen",aus Red.-St. g↓↓o↓↓l-,,"to lay down, to go to bed",from Red.-St. g↓↓o↓↓l-
,,,,,,,,
9,"1. gol-, lengthened grade gōl-, reduced grade gol-",lett.,gul̃t,sich schlafen legen,aus Red.-St. g↓↓o↓↓l-,,to go to sleep,from Red.-St. g↓↓o↓↓l-
10,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,guliù,liegen,aus Red.-St. g↓↓o↓↓l-,,to lie,from Red.-St. g↓↓o↓↓l-
11,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gulė́ti,liegen,aus Red.-St. g↓↓o↓↓l-,,to lie,from Red.-St. g↓↓o↓↓l-
12,"1. gol-, lengthened grade gōl-, reduced grade gol-",lett.,gul'a,"Lager, Schlafstelle",aus Red.-St. g↓↓o↓↓l-,,"Camp, sleeping place",from Red.-St. g↓↓o↓↓l-
13,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gulta,Tierlager,aus Red.-St. g↓↓o↓↓l-,,Animal shelter,from Red.-St. g↓↓o↓↓l-
14,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gultė,Tierlager,aus Red.-St. g↓↓o↓↓l-,,Animal shelter,from Red.-St. g↓↓o↓↓l-
15,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gvalis,liegend,(Szyrwid); = guõlis,,lying/reclining,(Szyrwid); = guõlis [UNKNOWN]
16,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gvalà,liegend,,,lying/reclining,
17,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gvalù,liegend,"Adv.; will Trautmann KZ. 42, 373 die Wz. als *gu̯ol- (Dehnstufe *gōl- aus *gu̯ōl- mit idg. Verlust des u̯;gul- dann = idg. *gul-) ansetzen; mir scheinen die lit. gval-Formen einzelsprachliche Erklärung zu heischen. Vgl. aber Trautmann Bsl. Wb. 93 f.",,lying/reclining,"Adv.; Trautmann KZ. 42, 373 wants to identify the root as *gu̯ol- (with lengthened grade *gōl- derived from *gu̯ōl- with Indo-European loss of u̯;gul- then = Indo-European *gul-); the Lithuanian gval- forms seem to require a linguistic explanation. Cf. however Trautmann Bsl. Wb. 93 f."
18,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gval̃sčias,liegend,/= gul̃sčias,,lying/reclining,/= gul̃sčias [UNKNOWN]
19,"1. gol-, lengthened grade gōl-, reduced grade gol-",lit.,gvalìni torà,gulsčiu kartẽlų tvorà,"(Kvė́-darna, wo uo zu ū geführt hätte)",,I lie on a heap of potatoes,"(Kvė́-darna, where it would have led to)"
0,2. gol-,arm.,kołr,"Ast, Zweig",,,"Branch, Twig",
1,2. gol-,russ.,golьjá,Zweig,"usw., s. Berneker 326",,Branch,"etc., see Berneker 326"
0,"gō̆u-, gou̯ə-, gū-",ai.,gavatē,tönt,nur Dhatup.,,sounds,only Dhatup.
1,"gō̆u-, gou̯ə-, gū-",ai.,jṓguvē,"lasse laut ertönen, spreche laut aus",Intens.,,"let it sound loudly, speak out loudly",Intens. [UNKNOWN]
2,"gō̆u-, gou̯ə-, gū-",ai.,jṓgū,laut singend,Gen. Pl. jṓguvām,,singing loudly,Genitive Plural jṓguvām
3,"gō̆u-, gou̯ə-, gū-",ai.,gaŋ-gū-yáti,stößt Freudenschreie aus,,,emits cries of joy,
4,"gō̆u-, gou̯ə-, gū-",gr.,γό[ϝ]ος,Klage,,,Lawsuit,
5,"gō̆u-, gou̯ə-, gū-",gr.,γοάω,wehklage,,,lamentation,
6,"gō̆u-, gou̯ə-, gū-",gr.,"γόης, -ητος",Zauberer (incantator),,,Wizard (incantator),
7,"gō̆u-, gou̯ə-, gū-",lat.,gāvia,Möwe,"vielleicht hierher, s. Persson Beitr. 897 f.",vielleicht = ?,Seagull,"maybe here, see Persson Beitr. 897 f."
8,"gō̆u-, gou̯ə-, gū-",ahd.,gikewen,"nennen, heißen",,,"to call, to be called",
9,"gō̆u-, gou̯ə-, gū-",ags.,cīegan,rufen,*kaujan,,call or shout,*kaujan [UNKNOWN]
10,"gō̆u-, gou̯ə-, gū-",ahd.,kūma,Wehklage,,,Lamentation,
11,"gō̆u-, gou̯ə-, gū-",ahd.,kūmo,mit Mühe,,,with effort,
12,"gō̆u-, gou̯ə-, gū-",nhd.,kaum,kaum,,,hardly/scarcely,
13,"gō̆u-, gou̯ə-, gū-",mhd.,kūme,"(*kläglich, klagend) schwach, gebrechlich",,,"(*pitiful, lamenting) weak, frail",
14,"gō̆u-, gou̯ə-, gū-",ahd.,kūmīg,"schwach, krank",,,"weak, sick",
15,"gō̆u-, gou̯ə-, gū-",mnd.,kǖme,matt,,,matt,
16,"gō̆u-, gou̯ə-, gū-",ags.,cȳme,"fein, schön",,,"fine, beautiful",
17,"gō̆u-, gou̯ə-, gū-",schwed. (gotl.),kaum,Jammer,,,Sorrow/regret,
18,"gō̆u-, gou̯ə-, gū-",norw. dial.,kauka,das Vieh mit Rufen locken,,,luring the cattle with calls,
19,"gō̆u-, gou̯ə-, gū-",mndl.,cauwe,Dohle,als Grundlage von Tiernamen,,Jackdaw,as the basis for animal names
20,"gō̆u-, gou̯ə-, gū-",ahd.,"kaha, kā",cornix,,,raven,
21,"gō̆u-, gou̯ə-, gū-",dän.,kaa,Dohle,*kavā,,Jackdaw,*kavā [UNKNOWN]
22,"gō̆u-, gou̯ə-, gū-",ags.,cȳta,Rohrdommel,,,Little Bittern,
23,"gō̆u-, gou̯ə-, gū-",mhd.,kūze,,,,,
24,"gō̆u-, gou̯ə-, gū-",nhd.,Kauz,Eule,,,Owl,
25,"gō̆u-, gou̯ə-, gū-",isl.,kýta,zanken,vgl. mit gleichem Formans,,to quarrel,compare with the same formant
26,"gō̆u-, gou̯ə-, gū-",mnd.,kūten,schwatzen,"daraus mhd. kūten, kiuten",,chat/talk,"daraus Middle High German ""kūten, kiuten"
27,"gō̆u-, gou̯ə-, gū-",ndd.,köter,,"aus urgerm. *kautāri, oder als 'Bauernhund' zu ndd. kot 'Hütte' (oben gēu- S. 394)",,,"from Proto-Germanic *kautāri, or as 'farm dog' from Middle Low German kot 'hut' (above gēu- p. 394)"
28,"gō̆u-, gou̯ə-, gū-",lit.,gaujà,"Rudel von Hunden, Wölfen",,,"Pack of dogs, wolves",
29,"gō̆u-, gou̯ə-, gū-",lit.,"gaudžiù, gaũsti",dumpf tönen,*goudi̯eti,,sound dull/muffled,*goudi̯eti [UNKNOWN]
30,"gō̆u-, gou̯ə-, gū-",lit.,"gúodžiu, gúosti","trösten, reflex. 'sich beklagen'","ablaut., *\gōudi̯eti",,"to comfort oneself, reflex. 'to complain'","ablaut., *\gōudi̯eti [UNKNOWN]"
31,"gō̆u-, gou̯ə-, gū-",lit.,gaudùs,wehmütig,,,nostalgic,
32,"gō̆u-, gou̯ə-, gū-",lett.,gauda,Klage,,,Lawsuit,
33,"gō̆u-, gou̯ə-, gū-",lett.,gàust,jammern,,,whine,
34,"gō̆u-, gou̯ə-, gū-",lett.,gavilêt,jauchzen,"die balt. Worte könnten auch zu \*ĝhau- 'rufen' gehören, wie auch z. B. anord. \gauð 'Bellen'",,exult,"the Baltic words could also belong to \*ĝhau- 'to call', as well as for example Old Norse \gauð 'barking'"
,,,,,,,,
36,"gō̆u-, gou̯ə-, gū-",russ.-ksl.,"gudu, gusti",κιθαρίζειν,"slav. *gǫdǫ, *gǫsti (gebildet wie *grędǫ und lat. jungō)",,to play the guitar.,"slav. *gǫdǫ, *gǫsti (formed like *grędǫ and Lat. jungō)"
37,"gō̆u-, gou̯ə-, gū-",klr.,"hudú, hustý",spielen,"slav. *gǫdǫ, *gǫsti (gebildet wie *grędǫ und lat. jungō)",,to play,"slav. *gǫdǫ, *gǫsti (formed like *grędǫ and Lat. jungō)"
38,"gō̆u-, gou̯ə-, gū-",skr.,"gúdêm, gústi",spielen; dumpf schallen,"alt; slav. *gǫdǫ, *gǫsti (gebildet wie *grędǫ und lat. jungō)",,play; sound dull,"alt; Slavic *gǫdǫ, *gǫsti (formed like *grędǫ and Latin jungō)"
39,"gō̆u-, gou̯ə-, gū-",poln.,"gędę, gąść","geigen, musizieren","alt; slav. *gǫdǫ, *gǫsti (gebildet wie *grędǫ und lat. jungō)",,"playing the violin, making music","alt; Slavic *gǫdǫ, *gǫsti (formed like *grędǫ and Latin jungō)"
40,"gō̆u-, gou̯ə-, gū-",aksl.,govorъ,Lärm,m.,,Noise,m.
41,"gō̆u-, gou̯ə-, gū-",aksl.,govoriti,lärmen,russ. usw. auch bes. 'sprechen',,to make noise,russ. etc. also especially 'speak'
42,"gō̆u-, gou̯ə-, gū-",russ.-ksl.,gvorъ,Wasserblase,"ablaut., *gъvorъ, m.",,Water bladder.,"ablaut., *gъvorъ, masculine."
43,"gō̆u-, gou̯ə-, gū-",poln.,gwar,"Lärm, Geräusch",*gъv-arъ,,"Noise, sound",*gъv-arъ [UNKNOWN]
44,"gō̆u-, gou̯ə-, gū-",čech.,havořiti,"reden, plaudern",dehnstufig,,"talk, chat",compensatory lengthening
45,"gō̆u-, gou̯ə-, gū-",klr.,hava,Krähe,vgl. oben germ. *kău̯ā,,Crow,"see above, germ. *kău̯ā [UNKNOWN]"
46,"gō̆u-, gou̯ə-, gū-",sloven.,gâvəc,Kiebitz,,,Lapwing,
47,"gō̆u-, gou̯ə-, gū-",russ.,gútor,"Unterhaltung, Scherzrede",auf Grund eines \*gou-tā 'Rede' mit demselben Formans wie \govorъ,,"Entertainment, humorous speech",on the basis of a *gou-tā 'speech' with the same formant as \govorъ
0,grēb(h)o-s : grōb(h)o-s,Maked. (illyr.),γράβιον,Fackel' ('Eichenholz'?),,,Torch' ('oak wood'?),
1,grēb(h)o-s : grōb(h)o-s,ven.,Grēbia,ON,,,ON,
2,grēb(h)o-s : grōb(h)o-s,illyr.,Grabaei,VN,,,VN,
3,grēb(h)o-s : grōb(h)o-s,illyr.,Γρᾆβος,PN,,,Private message,
4,grēb(h)o-s : grōb(h)o-s,illyr.,Γράβων,PN,,,Private message,
5,grēb(h)o-s : grōb(h)o-s,umbr.,Grabovius,GN 'Eichengott',"\== poln. grabowy; altumbr. Krapuvi, neuumbr. Grabovie, Dat.) aus illyr. grāb- (älter grēb-) entlehnt",,GN 'Oak God',#ERROR!
6,grēb(h)o-s : grōb(h)o-s,poln.,grabowy,,,,,
7,grēb(h)o-s : grōb(h)o-s,illyr.,grāb-,,älter grēb-,,,älter grēb- [UNKNOWN]
8,grēb(h)o-s : grōb(h)o-s,lat.,grabātus,Bett' (*aus Eichenholz),"ebenfalls illyr. Lw., aus gr.-illyr. κράβ(β)ατος ds.",,Bed (*made of oak wood),"ebenfalls illyrisches Lehnwort, aus dem griechisch-illyrischen κράβ(β)ατος daselbst."
9,grēb(h)o-s : grōb(h)o-s,gr.-illyr.,κράβ(β)ατος,Bett' (*aus Eichenholz),,,Bed (*made of oak wood),
,,,,,,,,
11,grēb(h)o-s : grōb(h)o-s,Bsl.,graba-,Weißbuche',m.,General note: grōb(h)o-s,White beech,m.
12,grēb(h)o-s : grōb(h)o-s,apr.,wosi-grabis,Spindelbaum',,,Spindle tree,
13,grēb(h)o-s : grōb(h)o-s,lett.,Gruõbina,ON,(gruõbas),,ON,(gruõbas) [UNKNOWN]
,,,,,,,,
15,grēb(h)o-s : grōb(h)o-s,skr.,grȁb,,,,,
16,grēb(h)o-s : grōb(h)o-s,russ.,grab,Weißbuche',,,White beech,
17,grēb(h)o-s : grōb(h)o-s,poln.,grab,Weißbuche',,,White beech,
18,grēb(h)o-s : grōb(h)o-s,poln.,grabowy,zur Buche gehörig',,,belonging to the beech tree,
19,grēb(h)o-s : grōb(h)o-s,,__gerebh-__,ritzen',vielleicht zu,Suggests connection to another root,to cut oneself (self-harm),maybe too
0,1. greus-,got.,krius-tan,knirschen,,,crunch,
1,1. greus-,got.,krusts,das Knirschen,,,the crunching,
2,1. greus-,aschwed.,krȳsta,Zähne knirschen; quetschen,,,Grinding teeth; squeezing,
3,1. greus-,ahd.,krustila,Krachbein,,,Noise bone,
4,1. greus-,nhd.,"Krustel, Krostel",Krachbein,,,Noise bone,
5,1. greus-,ahd.,krus-k,furfur,,,dandruff,
6,1. greus-,nhd.,Krüsch,Kleie,"auch Grüsch, Grüst durch Kreuzung mit Gries, Grütze",,Bran,"also Grüsch, Grüst through crossing with Gries, Grütze"
7,1. greus-,ahd.,kros-pel,"to crush, crumble, crackle",,,"to crush, crumble, crackle",
8,1. greus-,nhd.,"Kruspel, Krospel",Knorpel,,"general note: ""grōb(h)o-s:""",Cartilage,
9,1. greus-,nhd.,kruspeln,knirschend zerbeißen,,,gnawing crunchily,
,1. greus-,lit.,grukšė́ti,"`knirschen, knistern, vom Sand'","(k-Einschub?; über \gráužas `Graus, Kies' u. dgl. s. am Ende von  __*ghrēu-2__)",,"`grinding, crackling, of sand'","(k-Einschub?; see \gráužas `Graus, Kies' and similar at the end of __*ghrēu-2__) [UNKNOWN]"
10,1. greus-,serb.,grúhati,"krachen (von der Kanone), mit Krachen schlagen; durch Schlagen enthülsen",,,"crash (from the cannon), hit with a crash; hull by hitting",
11,1. greus-,serb.,grúšiti,"stoßen, enthülsen",,,"push, peel",
12,1. greus-,sloven.,grûh,Steingerölle,,,Pebble rubble,
13,1. greus-,sloven.,grúša,grober Sand,,,Coarse sand.,
14,1. greus-,russ.,grúchnutьsja,mit Geräusch zusammenstürzen,,,collapse with a noise,
0,2. greus-,gr.,γρῡνός,"dürres Holz, Fackel",,,"dry wood, torch",
1,2. greus-,gr.,γρουνός,"dürres Holz, Fackel",,,"dry wood, torch",
2,2. greus-,gr.,Γρύνειον,ON Stadt in der Äolis,,,ON City in the Aeolis,
3,2. greus-,gr.,Γρῦνοι,ON Stadt in der Äolis,,,ON City in the Aeolis,
4,2. greus-,lit.,gruzdė́ti,"schwelen, glimmen","doch ist ganz fraglich, ob die gr., schlecht bezeugten Worte ursprüngl. nicht eher 'Gehölz u. dgl.' bedeutet haben",,"smolder, glow","however, it is very questionable whether the poorly attested Greek words originally meant 'woodland and the like'"
5,2. greus-,lit.,grùzti,"schwelen, glimmen","doch ist ganz fraglich, ob die gr., schlecht bezeugten Worte ursprüngl. nicht eher 'Gehölz u. dgl.' bedeutet haben",,"smolder, glow","however, it is very questionable whether the poorly attested Greek words originally meant 'woodland and the like'"
6,2. greus-,lett.,gruzdêt,"schwelen, glimmen","doch ist ganz fraglich, ob die gr., schlecht bezeugten Worte ursprüngl. nicht eher 'Gehölz u. dgl.' bedeutet haben",,"smolder, glow","however, it is very questionable whether the poorly attested Greek words originally meant 'woodland and the like'"
7,2. greus-,lett.,grust,"schwelen, glimmen","doch ist ganz fraglich, ob die gr., schlecht bezeugten Worte ursprüngl. nicht eher 'Gehölz u. dgl.' bedeutet haben",E = Knorpel,"smolder, glow","however, it is very questionable whether the poorly attested Greek words originally meant 'woodland and the like'"
