,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
,,,,,,,,,
6,ter-6,6. ter-,corn.,contronen,cimex',,,cimex',
7,ter-6,6. ter-,mbret.,controunenn,ver de viande',\*kon-trōno-\,,worm of meat,"\*kon-trōno-\"" [UNKNOWN]"
8,ter-6,6. ter-,nbret.,contronenn,ver de viande',\*kon-trōno-\,,worm of meat,"\*kon-trōno-\"" [UNKNOWN]"
9,ter-6,6. ter-,cymr.,t(ō)rog-en,Milbe',\*tōr-āko-\,,Mite,"\*tōr-āko-\"" [UNKNOWN]"
10,ter-6,6. ter-,abr.,toroc,Milbe',\*tōr-āko-\,,Mite,"\*tōr-āko-\"" [UNKNOWN]"
11,ter-6,6. ter-,bret.,teurok,Milbe',\*tōr-āko-\,,Mite,"\*tōr-āko-\"" [UNKNOWN]"
0,"terd-, tred-","terd-, tred-",ai.,tr̥ṇátti,"durchbohren, spalten",,,"perforate, split",
1,"terd-, tred-","terd-, tred-",ai.,tardayati,"durchbohren, spalten",caus.,,"perforate, split",caus. [UNKNOWN]
2,"terd-, tred-","terd-, tred-",ai.,tardati,"durchbohren, spalten",Gramm.,,"perforate, split",Gram. [UNKNOWN]
3,"terd-, tred-","terd-, tred-",ai.,tatárda,"durchbohren, spalten",perf.,,"perforate, split",perf. [UNKNOWN]
4,"terd-, tred-","terd-, tred-",ai.,tardman-,"Loch, Öffnung",n.,,"Hole, opening",n. [UNKNOWN]
5,"terd-, tred-","terd-, tred-",ai.,tardá-,ein Insekt,m.,,an insect,m.
6,"terd-, tred-","terd-, tred-",ai.,tr̥dilá-,"löcherig, durchbohrt",,,"holey, pierced",
7,"terd-, tred-","terd-, tred-",ai.,tradá-,der (durch Bohren) eröffnet,,,opened (by drilling),
8,"terd-, tred-","terd-, tred-",lit.,"tréndu, -ė́ti","von Motten, Würmern zerfressen werden",,,"to be eaten by moths, worms",
9,"terd-, tred-","terd-, tred-",lit.,trandė̃,"Made, Holzwurm",,,"Maggot, woodworm",
10,"terd-, tred-","terd-, tred-",lit.,trandìs,"Made, Holzwurm",,,"Maggot, woodworm",
11,"terd-, tred-","terd-, tred-",lett.,trûdi,Moder,ablautend,,Fashion moderator,showing ablaut
12,"terd-, tred-","terd-, tred-",lett.,trûdêt,"verwittern, faulen",,,"weathering, rotting",
13,"terd-, tred-","terd-, tred-",lit.,trìdė,Durchfall,,,Diarrhea,
14,"terd-, tred-","terd-, tred-",aksl.,trǫdъ,"Zunder; Art Krankheit, δυσεντερία",vgl. oben S. 1073 lit. \tríedžiu\ `habe Durchfall': cymr. \trwyddo\ `bohren',,"Tinder; type of disease, dysentery.",cf. above p. 1073 lit. \tríedžiu\ 'I have diarrhea': Welsh \trwyddo\ 'to bore'
,,,,,,,,,
16,"terd-, tred-","terd-, tred-",cymr.,trwyddo,bohren,,,drilling,
17,"terd-, tred-","terd-, tred-",čech.,trud,Zitterich am Gesicht,,,Trembling on the face,
0,tet(e)r-,tet(e)r-,ai.,tittirá-,Rebhuhn,,,Partridge,
1,tet(e)r-,tet(e)r-,ai.,tittirí-,Rebhuhn,,,Partridge,
2,tet(e)r-,tet(e)r-,ai.,tittíri-,Rebhuhn,m.,,Partridge,m.
3,tet(e)r-,tet(e)r-,arm.,tatrak,Turteltaube,,,Turtle dove,
4,tet(e)r-,tet(e)r-,npers.,taðarv,Fasan,"auch gr. τατύρας, τέταρος ds. sind pers. Ursprungs",,Pheasant,"auch gr. τατύρας, τέταρος ds. sind pers. Ursprungs"
5,tet(e)r-,tet(e)r-,gr.,τετράων,Auerhahn,m.; *τετραϝ-ων,,Hazel grouse,m.; *τετραϝ-ων [UNKNOWN]
6,tet(e)r-,tet(e)r-,gr.,τέτραξ,Perlhuhn,\*tetr̥ks\; from which Lat. \tetrax\ ,,Guineafowl,"\*tetr̥ks\; from which Lat. \tetrax\"" [UNKNOWN]"
7,tet(e)r-,tet(e)r-,gr.,τετράδων,bird name in Hesychius,,,Vogelname in Hesychius,
8,tet(e)r-,tet(e)r-,gr.,τετραῖον,bird name in Hesychius,,,Vogelname in Hesychius,
,tet(e)r-,tet(e)r-,gr.,τετράων,bird name in Hesychius,,,Vogelname in Hesychius,
9,tet(e)r-,tet(e)r-,gr.,τέτριξ,ein Vogel,,,a bird,
10,tet(e)r-,tet(e)r-,lat.,tetrax,Perlhuhn,from Gk. τέτραξ,,Guineafowl,from Gk. τέτραξ [UNKNOWN]
11,tet(e)r-,tet(e)r-,mir.,tethra,Krähe,\*tetori̯ā\; Neuschöpfung ,,Crow,\tetori̯ā\; new creation
12,tet(e)r-,tet(e)r-,aisl.,þiðurr,Auerhahn,*þeþuraz,,Hazel grouse,*þeþuraz [UNKNOWN]
13,tet(e)r-,tet(e)r-,apr.,tatarwis,Birkhuhn,,,Black grouse,
14,tet(e)r-,tet(e)r-,lit.,tetervas,Birkhuhn,,,Black grouse,
15,tet(e)r-,tet(e)r-,lett.,teteris,(onomatopoeic: to quack),"Gen. \teterja\, aus \*tetervis\",,(onomatopoeic: to quack),"Gen. \teterja\, from \*tetervis\"
16,tet(e)r-,tet(e)r-,lit.,tẽtervinas,"Birkhahn, Auerhahn",,,"Capercaille, Black grouse",
17,tet(e)r-,tet(e)r-,lit.,tetirvà,Birkhenne,"lett. \tĩtars\ 'Truthahn' beeinflußt von \tītêt\, s. __ti-ti-__)",,Birch chicken,"lett. \tĩtars\ 'turkey' influenced by \tītêt\, see __ti-ti-__"
18,tet(e)r-,tet(e)r-,russ.-ksl.,tetrěvi,φασιανούς,Akk. Pl.,,pheasant,Accusative plural.
19,tet(e)r-,tet(e)r-,skr.,tȅtrĳeb,Auerhahn,,,Hazel grouse,
20,tet(e)r-,tet(e)r-,ačech.,tetřěv,Auerhahn,,,Hazel grouse,
21,tet(e)r-,tet(e)r-,russ.,téterev,Birkhahn,"\tetërka\ 'Birkhenne, Birkhuhn'",,Black grouse,"\tetërka\ 'birch hen, birch chicken'"
22,tet(e)r-,tet(e)r-,gr.,τετράζω,"gackere, gluckse (von der Henne)",,,"cackle, cluck (from the hen)",
23,tet(e)r-,tet(e)r-,lat.,"tetrinniō, -īre",schnattern (von Enten),,,quacking (by ducks),
,tet(e)r-,tet(e)r-,lat.,"tetrissitō, -āre",schnattern (von Enten),,,quacking (by ducks),
24,tet(e)r-,tet(e)r-,lat.,turtur,Turteltaube,"auch in anderen schallmalenden Worten kehrt \t-r\ als charakteristisches Element wieder, vgl. z. B. lat. \*storos\ 'Star', die Drossel-Namen (S. 1096), \streīg-\, \streīdh-\ 'zischen, schwirren'",,Turtle dove,"also in other onomatopoetic words, \t-r\ returns as a characteristic element, e.g. Latin \*storos\ 'star', the names of thrushes (p. 1096), \streīg-\, \streīdh-\ 'to sizzle, whirr'"
25,tet(e)r-,tet(e)r-,gr.,τρύζω,girre,,,squeak,
26,tet(e)r-,tet(e)r-,gr.,τρυγών,Turteltaube,f.,,Turtle dove,f. [UNKNOWN]
27,tet(e)r-,tet(e)r-,gr.,τερετίζω,zirpe,,,chirp,
0,teuk-,teuk-,ai.,tuc-,"Kinder, Nachkommenschaft",f.,,"Children, progeny",f. [UNKNOWN]
1,teuk-,teuk-,ai.,tuj-,"Kinder, Nachkommenschaft",mit volkssprachlicher Erweichung der Tenuis,,"Children, progeny",with a vernacular softening of the voiceless stop
2,teuk-,teuk-,ai.,tokam,"Nachkommenschaft, Kinder",n.,,"Offspring, children",n. [UNKNOWN]
3,teuk-,teuk-,ai.,tokman-,"junger Halm, Schößling",n.,,"young shoot, sapling",n. [UNKNOWN]
4,teuk-,teuk-,av.,taoxman-,"Samen, Keim",n.; Plural: 'Verwandtschaft',,"Seed, germ",n.; Plural: 'Verwandtschaft' [UNKNOWN]
5,teuk-,teuk-,apers.,taumā,"Familie, Samen, Keim",,,"Family, seed, germ",
6,teuk-,teuk-,khotansak.,tīman-,Samen,n.,,seeds,n. [UNKNOWN]
7,teuk-,teuk-,np.,tum,Samen,,,seeds,
8,teuk-,teuk-,afghan.,tōma,Samen,,,seeds,
9,teuk-,teuk-,mhd.,diehter,Enkel,,,Grandchild,
0,teus-,teus-,av.,taošayeiti,"macht los, läßt los",Kausativum (\*tousei̯ō\),,"starts, lets go",Causative (*tousei̯ō)
1,teus-,teus-,av.,tusən,sie verlieren die Fassung,Inchoativ (\*tus-sk̂ṓ\),,they lose their composure,Inchoative (*tus-sk̂ṓ)
2,teus-,teus-,baluči,tusag,verlassen werden,,,to be abandoned/ to be left,
3,teus-,teus-,baluči,thuaɣ,verlassen werden,,,to be abandoned/ to be left,
4,teus-,teus-,ai.,tucchá-,"leer, öde, nichtig",\*tus-sk̂o-\,,"empty, desolate, worthless","*tus-sk̂o-"" [UNKNOWN]"
5,teus-,teus-,ai.,tucchyá-,"leer, öde, nichtig",\*tus-sk̂-i̯o-\,,"empty, desolate, worthless","\*tus-sk̂-i̯o-\"" [UNKNOWN]"
6,teus-,teus-,afghan.,taš,leer,,,empty,
7,teus-,teus-,lat.,tesqua,Einöden,n. pl. (\*tu̯esku̯ā\),,Desolations,n. pl. (*tu̯esku̯ā) [UNKNOWN]
8,teus-,teus-,ags.,ðost,Dünger,,,Fertilizer,
9,teus-,teus-,ahd.,dost,Dünger,*Ausleerung',,Fertilizer,*Ausleerung' [UNKNOWN]
10,teus-,teus-,aksl.,tъštь,κενός,,,empty,
11,teus-,teus-,russ.,tóšcĳ,"leer; mager, hager",(= ai. tucchyá-),,"empty; lean, gaunt",(= ai. tucchyá-) [UNKNOWN]
0,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",ai.,títau-,"Sieb, Getreideschwinge","dreisilbig, aus \*titavu-\?",,"Sieve, grain swing.","three-syllable, from *titavu-\?"
1,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",ion. gr.,σάω,siebe,,,siebe,
2,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",att. gr.,τῶ,siebe,EM.,,siebe,EM. [UNKNOWN]
3,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,διαττάω,siebe,*τϝάι̯ω,,siebe,*τϝάι̯ω [UNKNOWN]
4,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,δίαττος,Sieb,"m., Hes.",,Sieve,"m., Hes. [UNKNOWN]"
5,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,ἐττημένα,σεσημένα,Hes.,,marked,Hes. [UNKNOWN]
6,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,ἀλευρότησις,Mehlsieb,"f., EM.",,Flour sieve,"f., EM. [UNKNOWN]"
7,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,σήθω,siebe,,,siebe,
0,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",ai.,ṭiṭṭibha,Parra jacana,,,Parra jacana,
1,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,titilbis,Wasserläufer,,,water strider,
2,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,titilbīte,Wasserläufer,,,water strider,
3,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,tilvìkas,"Brachhuhn, Schnepfe",,,"Partridge, snipe",
4,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,titilvìkas,"Brachhuhn, Schnepfe",,,"Partridge, snipe",
5,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,titìlvis,"Brachhuhn, Schnepfe",,,"Partridge, snipe",
6,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",gr.,"τῑτυβίζω, τιττυβίζω","gackern (vom Rebhuhn, der Schwalbe)",,,"cackling (from the partridge, the swallow)",
7,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lat.,"titiō, -āre","zwitschern, vom Sperling",,,"chirping, of the sparrow",
8,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,tītêt,singen,,,sing,
0,ti̯egʷ-,ti̯egu̯-,ai.,tyájati,"verläßt, steht von etwas zurück",(= gr. σέβω),,"leaves, falls behind something",(= gr. σέβω)
1,ti̯egʷ-,ti̯egu̯-,ai.,ni-tyájati,"verscheuchen, verdrängen",,,"chase away, push out",
2,ti̯egʷ-,ti̯egu̯-,ai.,niṣ-tyájati,"hinaustreiben, verjagen",,,"drive out, chase away",
3,ti̯egʷ-,ti̯egu̯-,ai.,tyaktá,abandoned,"(= gr. σεπτός), Partizip",,verlassen,"(= gr. σεπτός), participle"
4,ti̯egʷ-,ti̯egu̯-,ai.,tyaktar,abandoner,"(= gr. θεοσέπτωρ 'Anbeter der Gottheit'), Nomen agentis",,abandoner,"(= gr. θεοσέπτωρ 'worshipper of the deity'), noun of agent"
5,ti̯egʷ-,ti̯egu̯-,ai.,tyājáyati,macht zurücktreten,caus.,,makes resigning,caus. [UNKNOWN]
6,ti̯egʷ-,ti̯egu̯-,ai.,tyájas,Verlassenheit,"n., (= av. iϑyajah, iϑyejah)",,Abandonment,"n., (= av. iϑyajah, iϑyejah) [UNKNOWN]"
7,ti̯egʷ-,ti̯egu̯-,ai.,tyāgá,"Hingabe, Freigebigkeit",m.,,"Devotion, generosity",m.
8,ti̯egʷ-,ti̯egu̯-,gr.,σέβω,(die Götter) scheuen,nur Präs. und Impf.,,(the gods) shy away,only present and imperfect.
9,ti̯egʷ-,ti̯egu̯-,hom. gr.,σέβομαι,(die Götter) scheuen,"nachhom. `(die Götter)verehren, ehren'",,(the gods) shy away,"nachhom. `(the gods) worship, honor'"
10,ti̯egʷ-,ti̯egu̯-,gr.,σεπτός,"ehrwürdig, heilig",(verehrt =),,"venerable, sacred",(verehrt =)
11,ti̯egʷ-,ti̯egu̯-,hom. gr.,σέβας,"fromme Scheu, Ehrfurcht","Pl. σέβη n.; nachhom. `Heiligkeit, Majestät'",,"devout shyness, reverence","Pl. σέβη n.; nachhom. `Heiligkeit, Majestät'"
,,,,,,,,,
13,ti̯egʷ-,ti̯egu̯-,hom. gr.,σεβάσσατο,scheute ehrfürchtig,,,shyly revered,
14,ti̯egʷ-,ti̯egu̯-,gr.,σεμνός,"verehrungswürdig, erhaben, heilig; gravitätisch, einherstolzierend, prunkend",(*σεβνος),,"venerable, sublime, sacred; dignified, strutting, splendid",(*σεβνος [UNKNOWN])
15,ti̯egʷ-,ti̯egu̯-,gr.,σοβέω,"tue etwas von mir weg, entferne schnell, verjage","intr. 'gehe eilig, stolziere einher'",,"move away from me, remove quickly, chase away","intr. 'go quickly, strut'"
16,ti̯egʷ-,ti̯egu̯-,gr.,σοβαρός,"rasch, schnell; hochfahrend, prunkend",,,"fast, quickly; pompous, grandiose",
17,ti̯egʷ-,ti̯egu̯-,gr.,"σοβάς, -άδος","heftig, eitel",f.,,"intense, vain",f. [UNKNOWN]
18,ti̯egʷ-,ti̯egu̯-,gr.,σόβη,Pferdeschwanz,,,Horse's Tail,
19,ti̯egʷ-,ti̯egu̯-,av.,iϑyajah,Verlassenheit,"n., (= ai. \tyájas\)",,Abandonment,"n., (= Sanskrit \tyájas\)"
20,ti̯egʷ-,ti̯egu̯-,av.,iϑyejah,Verlassenheit,"n., (= ai. \tyájas\)",,Abandonment,"n., (= Sanskrit \tyájas\)"
0,treg-,treg-,air.,trēn,"tapfer, stark","\*tregs-no-\; woraus wohl cymr. \tren\ `impetuous, strenuous', Subst. `force, rapidity' entlehnt ist",,"brave, strong","\*tregs-no-\; from which probably cymr. \tren\ `impetuous, strenuous', Subst. `force, rapidity' is borrowed"
1,treg-,treg-,air.,tressa,Komparativ of \trēn\,cymr. \trech\,,Comparative of \trēn\,cymr. \trech\ [UNKNOWN]
2,treg-,treg-,air.,tressam,Superlativ of \trēn\,cymr. \treschaf\,,Superlative of \trēn\,cymr. \treschaf\ [UNKNOWN]
3,treg-,treg-,air.,tress,Kampf,\*tregso-\,,Fight,"\*tregso-\"" [UNKNOWN]"
4,treg-,treg-,aisl.,þrekr,"Stärke, Tapferkeit",m.,,"Strength, bravery",m.
5,treg-,treg-,aisl.,þrek,"Stärke, Tapferkeit",n.,,"Strength, bravery",n. [UNKNOWN]
6,treg-,treg-,aisl.,þrekinn,ausdauernd,,,enduring,
7,treg-,treg-,aisl.,þreka,"drängen, drücken",,,"push, press",
8,treg-,treg-,ags.,ðrece,"Unterdrückung, Gewalt, Ermüdung",m.,,"Oppression, violence, exhaustion",m.
9,treg-,treg-,ags.,ðræc,"Drängen, Macht, Gewalt",n.,,"Urgency, power, violence",n. [UNKNOWN]
10,treg-,treg-,ags.,ðracu,"Druck, Andrang, Gewalt",f.,,"Pressure, crowds, violence",f. [UNKNOWN]
11,treg-,treg-,as.,mōd-thraka,Kummer,f.,,Worry or grief,f. [UNKNOWN]
12,treg-,treg-,aisl.,þrōttr,"Kraft, Ausdauer",m.; reduktionsstufig \*þruhtu-\,,"Strength, endurance",m.; reduktion level *þruhtu-\
13,treg-,treg-,ags.,ðroht,Anstrengung; drückend,m.; reduktionsstufig \*þruhtu-\,,Effort; oppressive,m.; reduktion level *þruhtu-\
14,treg-,treg-,russ.,trógatь,berühren,reduktionsstufig \*þruhtu-\,,touch.,reduktion stage *þruhtu-
15,treg-,treg-,lett.,treksne,Stoß,reduktionsstufig \*þruhtu-\,,Shock,reduktion stage *þruhtu-
0,treisti- oder trīsti-,"treisti-, or trīsti-",lat.,trīstis,"finster gelaunt, traurig; widerlich oder herbe von Geschmack",,,"gloomy, sad; disgusting or bitter in taste",
1,treisti- oder trīsti-,"treisti-, or trīsti-",ahd.,drīsti,dreist,,,cheeky,
2,treisti- oder trīsti-,"treisti-, or trīsti-",as.,thrīsti,dreist,,,cheeky,
3,treisti- oder trīsti-,"treisti-, or trīsti-",ags.,ðrīste,dreist,,,cheeky,
0,trenk-2,2. trenk-,ir.,fothrucud,baden,,,to bathe,
1,trenk-2,2. trenk-,bret.,gozronquet,baden,\*tronk-\,,to bathe,"\*tronk-\"" [UNKNOWN]"
2,trenk-2,2. trenk-,cymr.,trochi,"mergere, balneare",(\-ch-\ wohl aus \-nk-\),,"diving, bathing",(-ch- probably from -nk-)
3,trenk-2,2. trenk-,lit.,"trenkù, triñkti",waschen,siehe oben,Pok. referring reader to another entry for this form,wash,see above
,,,,,,,,,
0,trē̆u-,trē̆u-,av.,tuϑruyē,"hat aufgezogen, unterhalten","i.e., \tuϑruwē\; Perf. 3. Sg. Med.",,"pulled up, entertained","i.e., \tuϑruwē\; Perf. 3rd person singular medial."
1,trē̆u-,trē̆u-,av.,ϑraoš-,"zur Reife, Vollendung, Vollkommenheit gelangen oder bringen",Präs.-St.,,"to reach or bring to maturity, perfection, or completion",[UNKNOWN]
2,trē̆u-,trē̆u-,av.,ϑraošti-,"(Reife)Vollendung, Ende",,,"(Maturity) Completion, End",
3,trē̆u-,trē̆u-,ahd.,triuuit,"excellet, pollet, floret",alem. \t-\ für \þ-\,,"excellent, little chicken, flower",alem. \t-\ for \þ-\ [UNKNOWN]
4,trē̆u-,trē̆u-,ahd.,trowwen,"pubescere, crescere",\*þraujan\,,"to grow, to mature","\*þraujan\"" [UNKNOWN]"
5,trē̆u-,trē̆u-,mhd.,ūf gedrouwen,"aufgewachsen, erwachsen",,,"grown up, adult",
6,trē̆u-,trē̆u-,aisl.,þrōask,"zunehmen, gedeihen, reifen",\*þrōwōn\,,"grow, thrive, mature","\*þrōwōn\"" [UNKNOWN]"
7,trē̆u-,trē̆u-,mhd.,druo,Frucht,f.,,Fruit,f. [UNKNOWN]
8,trē̆u-,trē̆u-,älter-nhd.,"druhen, truhen","gedeihen, zunehmen",,,"thrive, increase",
9,trē̆u-,trē̆u-,schweiz.,trüehen,"gedeihen, zunehmen",,,"thrive, increase",
10,trē̆u-,trē̆u-,aisl.,þrūðr,Kraft,f.,,Strength,f. [UNKNOWN]
11,trē̆u-,trē̆u-,ags.,ðrȳð,Kraft,,,Strength,
12,trē̆u-,trē̆u-,aisl.,þroskr,"(reif, vollwüchsig) kräftig",*trusko-,,"(ripe, fully-grown) strong",*trusko- [UNKNOWN]
13,trē̆u-,trē̆u-,aisl.,þroski,Stärke,m.,,Strength,m.
14,trē̆u-,trē̆u-,aisl.,þroskask,stark werden,,,to become strong.,
,"trii̯əto-, trīto-","trii̯əto-, trīto-",air.,trïath,Meer,Gen. \trethan\,,Sea,Gen. [UNKNOWN]
,"trii̯əto-, trīto-","trii̯əto-, trīto-",gr.,Τρί̄των,Sohn des Poseidon oder Nereus und der  ̓Αμφι-τρί̄τη; FlN,,,Son of Poseidon or Nereus and Amphitrite; FlN.,
0,"trii̯əto-, trīto-","trii̯əto-, trīto-",gr.,̓Αμφι-τρί̄τη,PN,,,Private message,
1,"trii̯əto-, trīto-","trii̯əto-, trīto-",gr.,Tρῑτωνίς f.,Lake in Libya,,,Lake in Libya,
2,"trii̯əto-, trīto-","trii̯əto-, trīto-",Τρῑτογένεια,Nickname of Athena,eher als Tρῐτογενεια 'am 3. Tage geboren' mit metr. Dehnung des ι deutbar,,,rather conceivable as Tρῐτογενεια 'born on the 3rd day' with metrical lengthening of ι,
0,tris-,tris-,gr.,θρινία,ἄμπελος ἐν Kρήτῃ,\*trisniā\,,Vine in Crete,*trisniā [UNKNOWN]
1,tris-,tris-,alb.,trishë,"Pfropfreis, Schößling",,,"Grafting scion, shoot",
2,tris-,tris-,skr.,trs,"Weinrebe, Rohr",\trsje\ 'Weinberg',,"Vine, Pipe",Weinberg
3,tris-,tris-,čech.,trs,Stock der Pflanze,,,stem of the plant,
4,tris-,tris-,čech.,vinný trs,Weinstock,,,Grapevine,
5,tris-,tris-,slov.,ters,Weinstock,slav. \*trьso-\,,Grapevine,slav. *trьso- [UNKNOWN]
0,trū̆des-,trū̆des-,air.,trosc,Aussatz,\*trŭds-ko-\,,Leprosy,"\*trŭds-ko-\"" [UNKNOWN]"
1,trū̆des-,trū̆des-,bret.,trousk,Schuppen,,,Dandruff,
2,trū̆des-,trū̆des-,bret.,trouskan,Moos,,,Moss,
3,trū̆des-,trū̆des-,cymr.,trwsg(l),roh,,,raw,
4,trū̆des-,trū̆des-,got.,þrūts-fill,Aussatz,n.,,Leprosy,n. [UNKNOWN]
5,trū̆des-,trū̆des-,ags.,ðrūstfell,Aussatz,für \*ðrūts-\,,Leprosy,for *ðrūts- [UNKNOWN]
6,trū̆des-,trū̆des-,gr.,τρύω,reibe auf,,,rub on,
7,trū̆des-,trū̆des-,lit.,trunė́ti,modern,"s. __ter(eu)-__ 'reiben', Grundbed. dann etwa 'kratzig'",,modern,"s. __ter(eu)-__ 'to rub', basic meaning then approximately 'scratchy'"
8,trū̆des-,trū̆des-,lat.,trūdō,"thrust, push, shove",s. __*treud-__,,"thrust, push, shove.",s. *treud- [UNKNOWN]
0,trus-,trus-,gr.,θρύον,Binse,*τρυ\h\ον (?),"general note: Uncertain, as bulrush and reed are two completely different things.",Reed grass,*τρυ\h\ον (?)
,,,,,,,,,
2,trus-,trus-,aksl.,trъstь,Schilfrohr,\*trusom\,,Reed stem,\*trusom\ [UNKNOWN]
3,trus-,trus-,skr.,trst,Schilfrohr,\*trusom\,,Reed stem,\*trusom\ [UNKNOWN]
4,trus-,trus-,skr.,trska,Schilfrohr,\*trusom\,,Reed stem,\*trusom\ [UNKNOWN]
5,trus-,trus-,lit.,tr(i)ušìs,Schilfrohr,,,Reed stem,
6,trus-,trus-,lit.,strùstė,Rohrspan oder Baststreifen,,,Reed chip or bast strip,
7,trus-,trus-,lit.,strustìs,Rohrspan oder Baststreifen,,,Reed chip or bast strip,
8,trus-,trus-,lit.,srustìs,Rohrspan oder Baststreifen,,,Reed chip or bast strip,
0,tū-lo-,tū-lo-,lett.,tūĺa,wer mit nichts fertig wird,,,who can't cope with anything,
1,tū-lo-,tū-lo-,lett.,tūlis,wer mit nichts fertig wird,,,who can't cope with anything,
2,tū-lo-,tū-lo-,lett.,tūĺûot,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",,,"dawdle, be slow, hesitate to start working; chat",
3,tū-lo-,tū-lo-,lett.,tūĺat,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",,,"dawdle, be slow, hesitate to start working; chat",
4,tū-lo-,tū-lo-,lett.,tūlúotiês,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",,,"dawdle, be slow, hesitate to start working; chat",
5,tū-lo-,tū-lo-,aisl.,þaul,Festsetzung,f.,,Fixation,f. [UNKNOWN]
6,tū-lo-,tū-lo-,aisl.,mǣla sik ī þaul,beim Sprechen stocken,,,to stumble while speaking,
7,tū-lo-,tū-lo-,nisl.,þaul-reið,anhaltender ermattender Ritt,,,persistent exhausting ride,
8,tū-lo-,tū-lo-,nisl.,þaul-sætinn,cunctabundus,,,hesitant,
9,tū-lo-,tū-lo-,norw.,tūla,schwer arbeiten,,,work hard,
10,tū-lo-,tū-lo-,norw.,tȳla,zögern,,,hesitate,
11,tū-lo-,tū-lo-,lett.,tūĺuotiês,zögern,,,hesitate,
12,tū-lo-,tū-lo-,lett.,tauńûotiês,"zögern, zaudern, nicht fertig werden, langsam sein",mit anderem Formans vielleicht,,"hesitate, dawdle, not finish, be slow",with possibly a different formant
0,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",ai.,tvanakti,zieht sich zusammen,unbel.,,tightens,unbel. [UNKNOWN]
1,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr. att.,σάττω,"ausrüsten, bewaffnen; anfüllen, feststopfen","\*tu̯aki̯ō\; ἔσαξα, ἐσεσάχατο",,"equip, arm; fill, stuff","*tu̯aki̯ō; ἔσαξα, ἐσεσάχατο [UNKNOWN]"
2,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr. ion.,σάσσω,"ausrüsten, bewaffnen; anfüllen, feststopfen","\*tu̯aki̯ō\; ἔσασα, ἐσεσάχατο",,"equip, arm; fill, stuff","*tu̯aki̯ō; ἔσασα, ἐσεσάχατο [UNKNOWN]"
3,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σακτός,vollgestopft,,,crammed/stuffed,
4,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σάγη,"Rüstung, Geschirr, Sattel, Kleidung",mit gr. γ (Entgleisung),,"Armor, harness, saddle, clothing.",with gr. γ (derailment)
5,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σάγμα,"Decke, Saumsattel; Kleidung, Überzug","> lat. \sagma\ > ahd. \soum\, nhd. \Saumtier\",,"Blanket, saddlecloth; Clothing, cover","lat. \sagma\ > ahd. \soum\, nhd. \pack animal\"
6,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σαγήνη,Fischernetz,,,fishing net,
7,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σάγουρον,γυργάθιον Poll.,,,Poll's lighthouse.,
8,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr. Hes.,σαγίς,πήρα,Hes.,,I took.,Hes. [UNKNOWN]
9,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr. theban.,σάκτᾱς,Arzt,,,Doctor,
10,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",lat.,sagana,Zauberin,from gr. *σαγάνη,,Sorceress,from gr. *σαγάνη [UNKNOWN]
11,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σηκός,"Hürde, Stall, heiliger Ort",,,"Hurdle, stable, sacred place",
12,"tu̯ā̆k-1, tuk-","1. tu̯ā̆k-, tuk-",gr.,σηκάζω,"pferche ein, sperre ein",,,"pen in, lock up",
