,web_root,root,abbr,reflex,meaning,notes
3,taus-,taus-,ai.,tōṣáyati,"beschwichtigt, stellt zufrieden, erfreut",Kaus.
4,taus-,taus-,av.,tušni-,stillschweigend,
5,taus-,taus-,av.,tušnišad-,wer stillschweigend dasitzt,
6,taus-,taus-,mir.,tō,"still, schweigend",*tauso-
7,taus-,taus-,air.,tūae,silentium,Grundform *tausi̯ā?
8,taus-,taus-,mcymr.,taw,schweige!,
9,taus-,taus-,ncymr.,taw,Schweigen; schweigend,
10,taus-,taus-,ncymr.,tawel,schweigend,
11,taus-,taus-,bret.,tao,Schweigen; still!,
12,taus-,taus-,abret.,taguelguiliat,Gl. zu dem als 'schweigendes Wachen' mißverstandenen lat. silicernium,
13,taus-,taus-,abret.,guo-teguis,compescuit,
14,taus-,taus-,nbret.,tevel,schweigen,
15,taus-,taus-,aschwed.,thyster,"schweigend, stumm, still",*þusti-
16,taus-,taus-,apr.,tusnan,still,
17,taus-,taus-,apr.,tussīse,er schweige,"*tusē-, wie lat. tacē-re"
18,taus-,taus-,lit.,"taũsos, tausýtis",sich legen (vom Winde),
19,taus-,taus-,slav.,*tušiti,beruhigen,= ai. tōšáyati
20,taus-,taus-,russ.,tušítь,"löschen, auslöschen",trans.
21,taus-,taus-,poln.,po-tuszyć,ermutigen,'*beruhigen'
22,taus-,taus-,russ.,*tuchnǫti,in russ. túchnutь' erlöschen',intr.
23,taus-,taus-,slov.,po-túhniti,"still werden, verlöschen",
24,taus-,taus-,russ.,Tósna,Flußname,FlN
25,taus-,taus-,hitt.,"dušk-, duškii̯a-",sich freuen,
0,"tēg-, təg-","tēg-, təg-",gr.,τήγανον,"Bratpfanne, Tiegel",
1,"tēg-, təg-","tēg-, təg-",att.,τάγηνον,"Bratpfanne, Tiegel",durch Umstellung auch
2,"tēg-, təg-","tēg-, təg-",ags.,ðeccan,brennen,
3,"tēg-, təg-","tēg-, təg-",ags.,ðäecelle,Fackel,"ist aus fæcele, Lw. aus lat. facula, umgebildet?"
4,"tēg-, təg-","tēg-, təg-",ahd.,dahhazzen,lodern,
0,tel-3,3. tel-,air.,tu(i)lid,schläft,Iter. *tolei̯ō
1,tel-3,3. tel-,air.,con-tu(i)li,schläft,Iter. *tolei̯ō
2,tel-3,3. tel-,air.,cotlud,Schlaf,*kom-toli-tu-s
3,tel-3,3. tel-,lit.,tyliù,schweigen,balto-slav. *tilētēi mit sekundärer Dehnung des i zu ī
4,tel-3,3. tel-,lit.,tylḗti,schweigen,balto-slav. *tilētēi mit sekundärer Dehnung des i zu ī
5,tel-3,3. tel-,lit.,ap-tįlù,schweigend werden,
6,tel-3,3. tel-,lit.,nu-tįlù,schweigend werden,
7,tel-3,3. tel-,lit.,pri-tįlù,schweigend werden,
8,tel-3,3. tel-,lit.,tilti,schweigend werden,
9,tel-3,3. tel-,lit.,tìldau,schweigen machen,Kausat.
10,tel-3,3. tel-,lit.,tìldyti,schweigen machen,Kausat.
11,tel-3,3. tel-,lit.,tylùs,schweigsam,idg. *tel-
12,tel-3,3. tel-,aksl.,tьlějǫ,"vermodern, vergehen",
13,tel-3,3. tel-,aksl.,tьlěti,"vermodern, vergehen",
14,tel-3,3. tel-,serb.,zà-tljâm,einschlummern wollen,
15,tel-3,3. tel-,serb.,zà-tljati,einschlummern wollen,
16,tel-3,3. tel-,aksl.,u-toliti,beruhigen,Kausativ slav. *toliti
17,tel-3,3. tel-,ksl.,toliti,placare,Kausativ slav. *toliti
0,teleĝh-,teleg̑h-,ai.,tarh,"zerschmettern, zermalmen","Perf. tatarha, Partiz. tr̥dhá"
1,teleĝh-,teleg̑h-,ai.,tr̥ṇédhi,"zerschmettern, zermalmen","Perf. tatarha, Partiz. tr̥dhá"
2,teleĝh-,teleg̑h-,ai.,tatarha,"zerschmettern, zermalmen","Perf. tatarha, Partiz. tr̥dhá"
3,teleĝh-,teleg̑h-,ai.,tr̥dhá,"zerschmettern, zermalmen","Perf. tatarha, Partiz. tr̥dhá"
4,teleĝh-,teleg̑h-,lit.,su-talžti,durchprügeln,
5,teleĝh-,teleg̑h-,lit.,tálžyti,prügeln,
6,teleĝh-,teleg̑h-,lit.,télžti,"prügeln, werfen",
7,teleĝh-,teleg̑h-,lett.,talzīt,durchprügeln,
8,teleĝh-,teleg̑h-,lett.,talstīt,durchprügeln,
9,teleĝh-,teleg̑h-,lit.,telẽži-ju,gewaltig durchprügeln,mit zweisilbiger Wurzelform
10,teleĝh-,teleg̑h-,lit.,telẽži-yti,gewaltig durchprügeln,mit zweisilbiger Wurzelform
11,teleĝh-,teleg̑h-,lit.,tàlažuoti,schwatzen,Bedeutung wie nhd. Klatschen
12,teleĝh-,teleg̑h-,lit.,talãžius,Schwätzer,
0,telp-,telp-,ai.,tálpa,"Lager, Ruhesitz",m.
1,telp-,telp-,ai.,tálpā,"Lager, Ruhesitz",f.
2,telp-,telp-,air.,tella,"es ist Raum, Möglichkeit vorhanden für etwas",
3,telp-,telp-,air.,talla,"es ist Raum, Möglichkeit vorhanden für etwas",analogisch
4,telp-,telp-,lit.,telpù,Raum haben,
5,telp-,telp-,lit.,til̃pti,Raum haben,
6,telp-,telp-,lit.,talpà,ausreichender Raum,f.
7,telp-,telp-,lit.,talpìnti,Raum schaffen,
8,telp-,telp-,lit.,tùlpinti,Raum schaffen,ablaut.
9,telp-,telp-,lett.,tęlpu,Raum haben,
10,telp-,telp-,lett.,tìlpt,Raum haben,
11,telp-,telp-,lett.,tilpe,Kramkammer,f.
12,telp-,telp-,urslav.,*tilpa,to have room; spacious,
13,telp-,telp-,urslav.,*t\ь\lpa,to have room; spacious,
14,telp-,telp-,aksl.,tl\ъ\pa,to have room; spacious,
15,telp-,telp-,russ.,tolpá,"Haufe, Schar",f.
16,telp-,telp-,toch.,tsälp,"gehen, hinübergehen, erlöst werden",A
0,tem-2,2. tem-,ai.,tā́myati,"wird betäubt, wird ohnmächtig, ermattet",
1,tem-2,2. tem-,ai.,tāṃtá-,Partiz. Perf. Pass.,
2,tem-2,2. tem-,ai.,tămáyati,"erstickt (trans.), beraubt der Luft",Kausativum
3,tem-2,2. tem-,ai.,támati,"erstickt (intr.), wirdunbeweglich, wird hart",
4,tem-2,2. tem-,ai.,támiṣīcī,"beklemmend, betäubend",feminin(um)
5,tem-2,2. tem-,ai.,timitá-,unbeweglich,
6,tem-2,2. tem-,arm.,t'm(b)rim,werde betäubt,
7,tem-2,2. tem-,lat.,tēmētum,"berauschendes Getränk, Met, Wein",
8,tem-2,2. tem-,lat.,tēmulentus,berauscht,
9,tem-2,2. tem-,lat.,abstēmius,nüchtern,
10,tem-2,2. tem-,mir.,tām,"Krankheit, Ohnmacht, Tod",
11,tem-2,2. tem-,mir.,támaid,stirbt,
12,tem-2,2. tem-,mcymr.,taw,Tod,
13,tem-2,2. tem-,nhd.,damisch,"betäubt, benommenen Geistes",
14,tem-2,2. tem-,nhd.,dämlich,"betäubt, benommenen Geistes",
15,tem-2,2. tem-,nhd.,dümmeln,ersticken,westfal.
16,tem-2,2. tem-,russ.-ksl.,tomiti,quälen; bedrücken; ermüden,
0,"tenəgos, t↓↓e↓↓nəgos","tenəgos, tenəgos",gr.,τέναγος,Furt,n.
1,"tenəgos, t↓↓e↓↓nəgos","tenəgos, tenəgos",lett.,tīgas,Tiefe zwischen zwei Untiefen,(*tingas)
0,tengh-,tengh-,av.,ϑang-,"ziehen, Bogen spannen",
1,tengh-,tengh-,av.,ϑanjasā̊ntē,"ziehen, Bogen spannen",
2,tengh-,tengh-,av.,ϑanjayentē,"ziehen, Bogen spannen",Partizip
3,tengh-,tengh-,av.,ϑaxta-,"ziehen, Bogen spannen",Partizip
4,tengh-,tengh-,av.,ϑanvarə,Bogen (als Schußwaffe),"nach Mayrhofer durch Kontamination mit *danvan- (= ai. dhánvan-, oben S. 234) entstanden"
5,tengh-,tengh-,av.,ϑanvanāt,Bogen (als Schußwaffe),Ablativ
6,tengh-,tengh-,osset.,t'ịnjịn,ausdehnen,
7,tengh-,tengh-,arm.,t'anjr,"dicht, dick",*tn̥ghi̯u-
8,tengh-,tengh-,arm.,t'anju,"dicht, dick",Genitiv
9,tengh-,tengh-,lat.,"tēmō, -ōnis",Deichsel,*tenksmō
10,tengh-,tengh-,aksl.,*tęgnǫti,ziehen,
11,tengh-,tengh-,aksl.,"rastęgǫ, rastęšti",distrahere,
12,tengh-,tengh-,russ.,tugój,"straff, fest, stark, schwer",
13,tengh-,tengh-,poln.,tęgi,das selbe,
14,tengh-,tengh-,aksl.,tǫga,"συνοχή, περίστασις",
15,tengh-,tengh-,slov.,tǫ́ga,"Trägheit, Schwermut",und so weiter
16,tengh-,tengh-,aksl.,otęgъčiti,βαρεῖν,
17,tengh-,tengh-,aksl.,tęžьkъ,βαρύς,
18,tengh-,tengh-,aksl.,tęgostь,βάρος,
19,tengh-,tengh-,aksl.,tęgota,das selbe,und so weiter
20,tengh-,tengh-,aksl.,istęsklъ,"emaceratus, tabidus",
21,tengh-,tengh-,aksl.,istęsknǫti,tabescere,mit sk-Suffix
22,tengh-,tengh-,aksl.,tęža,Rechtsstreit,
23,tengh-,tengh-,lit.,tingùs,träge,"slav. *tęgъ in tęgostь usw., und: aisl. þungr"
24,tengh-,tengh-,lit.,tìngiu,"träge, unlustig sein",
25,tengh-,tengh-,lit.,tingė́ti,"träge, unlustig sein",
26,tengh-,tengh-,lit.,tìng-stu,träge werden,
27,tengh-,tengh-,lit.,tìng-au,träge werden,
28,tengh-,tengh-,lit.,tìng-ti,träge werden,
29,tengh-,tengh-,aisl.,þungr,schwer,
30,tengh-,tengh-,aisl.,þunge,"Bürde, Last",
31,tengh-,tengh-,aisl.,þyngia,beschweren,
32,tengh-,tengh-,aisl.,þyngð,"Unannehmlichkeit, Verlegenheit",
33,tengh-,tengh-,aisl.,þyngsl,"Kummer, Bedrängnis",
34,tengh-,tengh-,ahd.,dīhsala,Deichsel,urgerm. *þenχslō eig. 'Zugstange'
35,tengh-,tengh-,ags.,þīxl,Deichsel,urgerm. *þenχslō eig. 'Zugstange'
36,tengh-,tengh-,aisl.,þīsl,Deichsel,urgerm. *þenχslō eig. 'Zugstange'
37,tengh-,tengh-,toch.,täṅk-,hindern,
38,tengh-,tengh-,toch.,tank-,hindern,
0,ter-1,1. ter-,ai.,taralá,"zitternd, zuckend, unstet",
1,ter-1,1. ter-,alb.,tartałis,zapple,aus redupl. *tar-tar-
0,ter-6,6. ter-,gr.,τερηδών,'Bohrwurm',f.
1,ter-6,6. ter-,lat.,tarmes,'Holzwurm',wohl aus einem o-St. *termos oder *terəmo-s
2,ter-6,6. ter-,lat.,termes,'Holzwurm',wohl aus einem o-St. *termos oder *terəmo-s
3,ter-6,6. ter-,lat.,-itis,'Holzwurm',wohl aus einem o-St. *termos oder *terəmo-s
4,ter-6,6. ter-,cymr.,cynrhonyn,"'termes, lendix'",Pl. cynrhawn
5,ter-6,6. ter-,cymr.,cynrhawn,(boring/gnawing insect),Pl. für 'cynrhonyn'
6,ter-6,6. ter-,corn.,contronen,'cimex',(boring/gnawing insect)
7,ter-6,6. ter-,mbret.,controunenn,'ver de viande',*kon-trōno-
8,ter-6,6. ter-,nbret.,contronenn,'ver de viande',*kon-trōno-
9,ter-6,6. ter-,cymr.,t(ō)rog-en,'Milbe',*tōr-āko-
10,ter-6,6. ter-,abr.,toroc,'Milbe',*tōr-āko-
11,ter-6,6. ter-,bret.,teurok,'Milbe',*tōr-āko-
0,"terd-, tred-","terd-, tred-",ai.,tr̥ṇátti,"durchbohren, spalten",
1,"terd-, tred-","terd-, tred-",ai.,tardayati,"durchbohren, spalten",Kausativum
2,"terd-, tred-","terd-, tred-",ai.,tardati,"durchbohren, spalten",Gramm.
3,"terd-, tred-","terd-, tred-",ai.,tatárda,"durchbohren, spalten",Perfektum
4,"terd-, tred-","terd-, tred-",ai.,tardman-,"Loch, Öffnung","n.: neutral, neutrum"
5,"terd-, tred-","terd-, tred-",ai.,tardá-,ein Insekt,m.: maskulinum
6,"terd-, tred-","terd-, tred-",ai.,tr̥dilá-,"löcherig, durchbohrt",
7,"terd-, tred-","terd-, tred-",ai.,tradá-,der (durch Bohren) eröffnet,
8,"terd-, tred-","terd-, tred-",lit.,"tréndu, -ė́ti","von Motten, Würmern zerfressen werden",
9,"terd-, tred-","terd-, tred-",lit.,trandė̃,"Made, Holzwurm",
10,"terd-, tred-","terd-, tred-",lit.,trandìs,"Made, Holzwurm",
11,"terd-, tred-","terd-, tred-",lett.,trûdi,Moder,ablautend
12,"terd-, tred-","terd-, tred-",lett.,trûdêt,"verwittern, faulen",
13,"terd-, tred-","terd-, tred-",lit.,trìdė,Durchfall,
14,"terd-, tred-","terd-, tred-",aksl.,trǫd,"Art Krankheit, δυσεντερία",
15,"terd-, tred-","terd-, tred-",aksl.,trǫd,Zunder,
16,"terd-, tred-","terd-, tred-",cymr.,trwyddo,bohren,
17,"terd-, tred-","terd-, tred-",čech.,trud,Zitterich am Gesicht,
0,tet(e)r-,tet(e)r-,ai.,tittirá-,Rebhuhn,
1,tet(e)r-,tet(e)r-,ai.,tittirí-,Rebhuhn,
2,tet(e)r-,tet(e)r-,ai.,tittíri-,Rebhuhn,
3,tet(e)r-,tet(e)r-,arm.,tatrak,Turteltaube,
4,tet(e)r-,tet(e)r-,npers.,taðarv,Fasan,"auch gr. τατύρας, τέταρος ds. sind pers. Ursprungs"
5,tet(e)r-,tet(e)r-,gr.,τετράων,Auerhahn,*τετραϝ-ων
6,tet(e)r-,tet(e)r-,gr.,τέτραξ,Perlhuhn,*tetr̥ks
7,tet(e)r-,tet(e)r-,gr.,τετράδων,(onomatopoeic: to quack),Vogelname bei Hesych.
8,tet(e)r-,tet(e)r-,gr.,τετραῖον,(onomatopoeic: to quack),
9,tet(e)r-,tet(e)r-,gr.,τέτριξ,ein Vogel,
10,tet(e)r-,tet(e)r-,lat.,tetrax,(onomatopoeic: to quack),daraus
11,tet(e)r-,tet(e)r-,mir.,tethra,Krähe,*tetori̯ā
12,tet(e)r-,tet(e)r-,aisl.,þiðurr,Auerhahn,*þeþuraz
13,tet(e)r-,tet(e)r-,apr.,tatarwis,Birkhuhn,
14,tet(e)r-,tet(e)r-,lit.,tetervas,das selbe,
15,tet(e)r-,tet(e)r-,lett.,teteris,(onomatopoeic: to quack),"Gen. teterja, aus *tetervis"
16,tet(e)r-,tet(e)r-,lit.,tẽtervinas,"Birkhahn, Auerhahn",
17,tet(e)r-,tet(e)r-,lit.,tetirvà,Birkhenne,"lett. tĩtars 'Truthahn' beeinflußt von tītêt, s. ti-ti"
18,tet(e)r-,tet(e)r-,russ.-ksl.,tetrěvi,φασιανούς,Akk. Pl.
19,tet(e)r-,tet(e)r-,skr.,tȅtrĳeb,Auerhahn,
20,tet(e)r-,tet(e)r-,ačech.,tetřěv,das selbe,
21,tet(e)r-,tet(e)r-,russ.,téterev,Birkhahn,"tetërka 'Birkhenne, Birkhuhn'"
22,tet(e)r-,tet(e)r-,gr.,τετράζω,"gackere, gluckse (von der Henne)",
23,tet(e)r-,tet(e)r-,lat.,"tetrinniō, -īre, tetrissitō, -āre",schnattern (von Enten),
24,tet(e)r-,tet(e)r-,lat.,turtur,Turteltaube,"auch in anderen schallmalenden Worten kehrt t-r als charakteristisches Element wieder, vgl. z. B. lat. *storos 'Star', die Drossel-Namen (S. 1096), streīg-, streīdh- 'zischen, schwirren'"
25,tet(e)r-,tet(e)r-,gr.,τρύζω,girre,
26,tet(e)r-,tet(e)r-,gr.,τρυγών,Turteltaube,
27,tet(e)r-,tet(e)r-,gr.,τερετίζω,zirpe,
0,teuk-,teuk-,ai.,tuc-,"Kinder, Nachkommenschaft",
1,teuk-,teuk-,ai.,tuj-,das selbe,mit volkssprachlicher Erweichung der Tenuis
2,teuk-,teuk-,ai.,tokam,"Nachkommenschaft, Kinder",
3,teuk-,teuk-,ai.,tokman-,"junger Halm, Schößling",
4,teuk-,teuk-,av.,taoxman-,"Same, Keim",Plural: 'Verwandtschaft'
5,teuk-,teuk-,apers.,taumā,"Familie, Same, Keim",
6,teuk-,teuk-,khotansak.,tīman-,Same,
7,teuk-,teuk-,np.,tum,Same,
8,teuk-,teuk-,afghan.,tōma,Same,
9,teuk-,teuk-,mhd.,diehter,Enkel,
0,teus-,teus-,av.,taošayeiti,"macht los, läßt los",Kausativum (*tousei̯ō)
1,teus-,teus-,av.,tusən,sie verlieren die Fassung,Inchoativ (*tus-sk̂ṓ)
2,teus-,teus-,baluči,tusag,verlassen werden,
3,teus-,teus-,baluči,thuaɣ,verlassen werden,
4,teus-,teus-,ai.,tucchá-,"leer, öde, nichtig","(*tus-sk̂o-, *tus-sk̂-i̯o-)"
5,teus-,teus-,ai.,tucchyá-,"leer, öde, nichtig","(*tus-sk̂o-, *tus-sk̂-i̯o-)"
6,teus-,teus-,afghan.,taš,leer,
7,teus-,teus-,lat.,tesqua,Einöden,"neutral, Plural (*tu̯esku̯ā)"
8,teus-,teus-,ags.,ðost,Dünger,'*Ausleerung'
9,teus-,teus-,ahd.,dost,das selbe,'*Ausleerung'
10,teus-,teus-,aksl.,tъštь,κενός,
11,teus-,teus-,russ.,tóšcĳ,"leer; mager, hager",und so weiter (= ai. tucchyá-)
0,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",ai.,títau-,"Sieb, Getreideschwinge","dreisilbig, aus *titavu-?"
1,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,σάω,siebe,ion.
2,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,τῶ,siebe,att. EM.
3,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,διαττάω,siebe,*τϝάι̯ω
4,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,δίαττος,Sieb,"m., Hes."
5,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,ἐττημένα · σεσημένα,siebe,Hes.
6,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,ἀλευρότησις,Mehlsieb,"f., EM."
7,"teu̯ə-, tu̯ā-","teu̯ə-, tu̯ā-",gr.,σήθω,siebe,
0,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",ai.,ṭiṭṭibha,Parra jacana,
1,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,titilbis,Wasserläufer,
2,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,titilbīte,Wasserläufer,
3,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,tilvìkas,"Brachhuhn, Schnepfe",
4,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,titilvìkas,"Brachhuhn, Schnepfe",
5,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lit.,titìlvis,"Brachhuhn, Schnepfe",
6,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",gr.,τῑτυβίζω oder τιττυβίζω,"gackern (vom Rebhuhn, der Schwalbe)",
7,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lat.,"titiō, -āre","zwitschern, vom Sperling",
8,"ti-ti-, (ti)til-","ti-ti-, (ti)til-",lett.,tītêt,singen,
0,ti̯egʷ-,ti̯egu̯-,ai.,tyájati,"verläßt, steht von etwas zurück",(= gr. σέβω)
1,ti̯egʷ-,ti̯egu̯-,ai.,ni,"verscheuchen, verdrängen",
2,ti̯egʷ-,ti̯egu̯-,ai.,niṣ,"hinaustreiben, verjagen",
3,ti̯egʷ-,ti̯egu̯-,ai.,tyaktá,,"(= gr. σεπτός), Partizip"
4,ti̯egʷ-,ti̯egu̯-,ai.,tyaktar,,"(= gr. θεοσέπτωρ 'Anbeter der Gottheit'), Nomen agentis"
5,ti̯egʷ-,ti̯egu̯-,ai.,tyājáyati,macht zurücktreten,Kausativum
6,ti̯egʷ-,ti̯egu̯-,ai.,tyájas,Verlassenheit,"n., (= av. iϑyajah, iϑyejah)"
7,ti̯egʷ-,ti̯egu̯-,ai.,tyāgá,"Hingabe, Freigebigkeit",m.
8,ti̯egʷ-,ti̯egu̯-,gr.,σέβω,(die Götter) scheuen,nur Präs. und Impf.
9,ti̯egʷ-,ti̯egu̯-,gr.,σέβομαι,"(die Götter)verehren, ehren","hom., nachhom."
10,ti̯egʷ-,ti̯egu̯-,gr.,σεπτός,"ehrwürdig, heilig",(verehrt =)
11,ti̯egʷ-,ti̯egu̯-,gr.,σέβας,"fromme Scheu, Ehrfurcht","Pl. σέβη n., hom."
12,ti̯egʷ-,ti̯egu̯-,gr.,σέβη,"Heiligkeit, Majestät","n., nachhom."
13,ti̯egʷ-,ti̯egu̯-,gr.,σεβάσσατο,scheute ehrfürchtig,hom.
14,ti̯egʷ-,ti̯egu̯-,gr.,σεμνός,"verehrungswürdig, erhaben, heilig; gravitätisch, einherstolzierend, prunkend",(*σεβνος)
15,ti̯egʷ-,ti̯egu̯-,gr.,σοβέω,"tue etwas von mir weg, entferne schnell, verjage","intr. 'gehe eilig, stolziere einher'"
16,ti̯egʷ-,ti̯egu̯-,gr.,σοβαρός,"rasch, schnell; hochfahrend, prunkend",
17,ti̯egʷ-,ti̯egu̯-,gr.,"σοβάς, -άδος","heftig, eitel",f.
18,ti̯egʷ-,ti̯egu̯-,gr.,σόβη,Pferdeschwanz,
19,ti̯egʷ-,ti̯egu̯-,av.,iϑyajah,Verlassenheit,"n., (= ai. tyájas)"
20,ti̯egʷ-,ti̯egu̯-,av.,iϑyejah,Verlassenheit,"n., (= ai. tyájas)"
0,treg-,treg-,air.,trēn,"tapfer, stark",*tregs-no-
1,treg-,treg-,air.,tressa,"Komparativ, Superlativ",
2,treg-,treg-,air.,tressam,"Komparativ, Superlativ",
3,treg-,treg-,air.,tress,Kampf,*tregso-
4,treg-,treg-,aisl.,þrekr,"Stärke, Tapferkeit",m.
5,treg-,treg-,aisl.,þrek,"Stärke, Tapferkeit",n.
6,treg-,treg-,aisl.,þrekinn,ausdauernd,
7,treg-,treg-,aisl.,þreka,"drängen, drücken",
8,treg-,treg-,ags.,ðrece,"Unterdrückung, Gewalt, Ermüdung",m.
9,treg-,treg-,ags.,ðræc,"Drängen, Macht, Gewalt",n.
10,treg-,treg-,ags.,ðracu,"Druck, Andrang, Gewalt",f.
11,treg-,treg-,as.,mōd-thraka,Kummer,f.
12,treg-,treg-,aisl.,þrōttr,"Kraft, Ausdauer",m.
13,treg-,treg-,ags.,ðroht,Anstrengung; drückend,m.
14,treg-,treg-,russ.,trógatь,berühren,
15,treg-,treg-,lett.,treksne,Stoß,
0,treisti- oder trīsti-,"treisti-, or trīsti-",lat.,trīstis,"finster gelaunt, traurig; widerlich oder herbe von Geschmack",
1,treisti- oder trīsti-,"treisti-, or trīsti-",ahd.,drīsti,dreist,
2,treisti- oder trīsti-,"treisti-, or trīsti-",as.,thrīsti,dreist,
3,treisti- oder trīsti-,"treisti-, or trīsti-",ags.,ðrīste,dreist,
0,trenk-2,2. trenk-,ir.,fothrucud,baden,
1,trenk-2,2. trenk-,bret.,gozronquet,das selbe,(*tronk-)
2,trenk-2,2. trenk-,cymr.,trochi,"mergere, balneare",(-ch- wohl aus -nk-)
3,trenk-2,2. trenk-,lit.,trenkù,waschen,siehe oben
4,trenk-2,2. trenk-,lit.,triñkti,waschen,siehe oben
0,trē̆u-,trē̆u-,av.,tuϑruyē,"hat aufgezogen, unterhalten",Perf. 3. Sg. Med.
1,trē̆u-,trē̆u-,av.,ϑraoš-,"zur Reife, Vollendung, Vollkommenheit gelangen oder bringen",Präs.-St.
2,trē̆u-,trē̆u-,av.,ϑraošti-,"(Reife)Vollendung, Ende",
3,trē̆u-,trē̆u-,ahd.,triuuit,"excellet, pollet, floret",alem. t- für þ-
4,trē̆u-,trē̆u-,ahd.,trowwen,"pubescere, crescere",*þraujan
5,trē̆u-,trē̆u-,mhd.,ūf gedrouwen,"aufgewachsen, erwachsen",
6,trē̆u-,trē̆u-,aisl.,þrōask,"zunehmen, gedeihen, reifen",*þrōwōn
7,trē̆u-,trē̆u-,mhd.,druo,Frucht,femininum
8,trē̆u-,trē̆u-,älter-nhd.,"druhen, truhen","gedeihen, zunehmen",
9,trē̆u-,trē̆u-,schweiz.,trüehen,ds.,
10,trē̆u-,trē̆u-,aisl.,þrūðr,Kraft,femininum
11,trē̆u-,trē̆u-,ags.,ðrȳð,ds.,
12,trē̆u-,trē̆u-,aisl.,þroskr,"(reif, vollwüchsig) kräftig",*trusko-
13,trē̆u-,trē̆u-,aisl.,þroski,Stärke,maskulinum
14,trē̆u-,trē̆u-,aisl.,þroskask,stark werden,
0,"trii̯əto-, trīto-","trii̯əto-, trīto-",̓Αμφι-τρί̄τη,auch Flußname,also a river name,
1,"trii̯əto-, trīto-","trii̯əto-, trīto-",Tρῑτωνίς f.,'See in Libyen',Lake in Libya,
2,"trii̯əto-, trīto-","trii̯əto-, trīto-",Τρῑτογένεια,'Beiname der Athene',Nickname of Athena,eher als Tρῐτογενεια 'am 3. Tage geboren' mit metr. Dehnung des ι deutbar
0,tris-,tris-,gr.,θρινία,ἄμπελος ἐν Kρήτῃ,*trisniā
1,tris-,tris-,alb.,trishë,"Pfropfreis, Schößling",
2,tris-,tris-,skr.,trs,"Weinrebe, Rohr",trsje 'Weinberg'
3,tris-,tris-,čech.,trs,Stock der Pflanze,
4,tris-,tris-,čech.,vinný trs,Weinstock,
5,tris-,tris-,slov.,ters,Weinstock,slav. *trьso-
0,trū̆des-,trū̆des-,air.,trosc,Aussatz,*trŭds-ko-
1,trū̆des-,trū̆des-,bret.,trousk,Schuppen,
2,trū̆des-,trū̆des-,bret.,trouskan,Moos,
3,trū̆des-,trū̆des-,cymr.,trwsg(l),roh,
4,trū̆des-,trū̆des-,got.,þrūts-fill,Aussatz,n.
5,trū̆des-,trū̆des-,ags.,ðrūstfell,Aussatz,für *ðrūts-
6,trū̆des-,trū̆des-,gr.,τρύω,reibe auf,
7,trū̆des-,trū̆des-,lit.,trunė́ti,modern,"s. ter(eu)- 'reiben', Grundbed. dann etwa 'kratzig'"
8,trū̆des-,trū̆des-,lat.,trūdō,,s. *treud-
0,trus-,trus-,gr.,θρύον,Binse,*τρυ\h\ον (?)
1,trus-,trus-,gr.,*trusom,Binse,"Zu aksl. trъstь, skr. trst, trska usw."
2,trus-,trus-,aksl.,trъstь,Schilfrohr,"Zu gr. *trusom, skr. trst, trska usw."
3,trus-,trus-,skr.,trst,Schilfrohr,"Zu gr. *trusom, aksl. trъstь, usw."
4,trus-,trus-,skr.,trska,Schilfrohr,"Zu gr. *trusom, aksl. trъstь, trst usw."
5,trus-,trus-,lit.,tr(i)ušìs,Schilfrohr,"Das selbe wie strùstė, strustìs, srustìs"
6,trus-,trus-,lit.,strùstė,Rohrspan oder Baststreifen,"Das selbe wie tr(i)ušìs, strustìs, srustìs"
7,trus-,trus-,lit.,strustìs,Rohrspan oder Baststreifen,"Das selbe wie tr(i)ušìs, strùstė, srustìs"
8,trus-,trus-,lit.,srustìs,Rohrspan oder Baststreifen,"Das selbe wie tr(i)ušìs, strùstė, strustìs"
0,tū-lo-,tū-lo-,lett.,tūĺa,wer mit nichts fertig wird,
1,tū-lo-,tū-lo-,lett.,tūlis,wer mit nichts fertig wird,
2,tū-lo-,tū-lo-,lett.,tūĺûot,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",
3,tū-lo-,tū-lo-,lett.,tūĺat,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",
4,tū-lo-,tū-lo-,lett.,tūlúotiês,"säumen, langsam sein, zögernd an die Arbeit gehen; schwatzen",
5,tū-lo-,tū-lo-,aisl.,þaul,Festsetzung,
6,tū-lo-,tū-lo-,aisl.,mǣla sik ī þaul,beim Sprechen stocken,
